candidate_id,rank,score,reasoning
CAND_0037566,1,0.7482,"7yr Machine Learning Engineer; currently Machine Learning Engineer at LinkedIn. Verified skills: Pinecone, Time Series, LlamaIndex, NLP, LoRA. Moderate semantic alignment with JD. Tier-1 Indian product company experience — strong culture fit signal. Notice: 15d — within buyout range. Strong GitHub activity (73.4/100) — external proof of work. High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking. Top-10 candidate — strong overall fit."
CAND_0075439,2,0.6846,"4yr Machine Learning Engineer; currently Machine Learning Engineer at Flipkart. Verified skills: Learning to Rank, Feature Engineering, LoRA, Elasticsearch, JavaScript. Weak semantic match; included for other signals. Tier-1 Indian product company experience — strong culture fit signal. Notice: 30d — within buyout range. Moderate GitHub activity (66.3/100). High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking. Top-10 candidate — strong overall fit."
CAND_0079284,3,0.6808,"5yr Machine Learning Engineer; currently Machine Learning Engineer at Google. Verified skills: Recommendation Systems, scikit-learn, QLoRA, LlamaIndex, Illustrator. Weak semantic match; included for other signals. Tier-1 Indian product company experience — strong culture fit signal. Notice: 30d — within buyout range. No GitHub linked — reduced external validation for closed-source work. High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking. Top-10 candidate — strong overall fit."
CAND_0052328,4,0.6447,"6yr Machine Learning Engineer; currently Recommendation Systems Engineer at Amazon. Verified skills: Object Detection, LoRA, OpenSearch, Reinforcement Learning, QLoRA. Weak semantic match; included for other signals. Notice: 30d — within buyout range. Strong GitHub activity (77.6/100) — external proof of work. High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking. Top-10 candidate — strong overall fit."
CAND_0007009,5,0.6375,"8yr Machine Learning Engineer; currently Recommendation Systems Engineer at Wysa. Verified skills: Statistical Modeling, ETL, Weaviate, Python, Embeddings. Weak semantic match; included for other signals. Notice: 30d — within buyout range. Moderate GitHub activity (69.2/100). High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking. Top-10 candidate — strong overall fit."
CAND_0091909,6,0.6272,"7yr Machine Learning Engineer; currently Machine Learning Engineer at Rephrase.ai. Verified skills: LLMs, Image Classification, Pinecone, Diffusion Models, QLoRA. Weak semantic match; included for other signals. Notice: 45d — acceptable but longer than preferred. Moderate GitHub activity (49.7/100). High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking. Top-10 candidate — strong overall fit."
CAND_0055905,7,0.6267,"8yr Machine Learning Engineer; currently Senior Machine Learning Engineer at Flipkart. Verified skills: Elasticsearch, ASR, Hugging Face Transformers, Haystack, Speech Recognition. Weak semantic match; included for other signals. Tier-1 Indian product company experience — strong culture fit signal. Notice: 30d — within buyout range. No GitHub linked — reduced external validation for closed-source work. High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking. Top-10 candidate — strong overall fit."
CAND_0066999,8,0.6236,"6yr Machine Learning Engineer; currently Recommendation Systems Engineer at Microsoft. Verified skills: Image Classification, OpenSearch, JavaScript, FAISS, LLMs. Weak semantic match; included for other signals. Notice: 15d — within buyout range. Strong GitHub activity (94.4/100) — external proof of work. High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking. Top-10 candidate — strong overall fit."
CAND_0061655,9,0.6202,"5yr Machine Learning Engineer; currently Machine Learning Engineer at Krutrim. Verified skills: Haystack, PEFT, Pinecone, Time Series, Machine Learning. Weak semantic match; included for other signals. Notice: 15d — within buyout range. Moderate GitHub activity (56.5/100). High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking. Top-10 candidate — strong overall fit."
CAND_0030348,10,0.6189,"4yr Machine Learning Engineer; currently Machine Learning Engineer at BYJU'S. Verified skills: LlamaIndex, Deep Learning, TTS, MLOps, PyTorch. Weak semantic match; included for other signals. Tier-1 Indian product company experience — strong culture fit signal. Notice: 45d — acceptable but longer than preferred. No GitHub linked — reduced external validation for closed-source work. High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking. Top-10 candidate — strong overall fit."
CAND_0018499,11,0.6104,"7yr Machine Learning Engineer; currently Senior Machine Learning Engineer at Zomato. Verified skills: Deep Learning, Weaviate, Recommendation Systems, scikit-learn, Diffusion Models. Weak semantic match; included for other signals. Tier-1 Indian product company experience — strong culture fit signal. Notice: 15d — within buyout range. Strong GitHub activity (94.8/100) — external proof of work. High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking. Strong candidate overall."
